filename,object_count
001326.png,17
001327.png,14
001328.png,10
001329.png,14
001330.png,12
001331.png,10
001332.png,11
001333.png,13
001334.png,12
001335.png,13
001336.png,13
001337.png,14
001338.png,11
001339.png,12
001340.png,15
001341.png,12
001342.png,15
001343.png,18
001344.png,13
001345.png,15
001346.png,15
001347.png,18
001348.png,15
001349.png,22
001350.png,17
001351.png,19
001352.png,20
001353.png,20
001354.png,24
001355.png,20
001356.png,18
001357.png,17
001358.png,18
001359.png,18
001360.png,19
001361.png,18
001362.png,16
001363.png,16
001364.png,16
001365.png,16
001366.png,16
001367.png,19
001368.png,20
001369.png,17
001370.png,15
001371.png,17
001372.png,18
001373.png,21
001374.png,18
001375.png,19
001376.png,15
001381.png,19
001382.png,16
001383.png,13
001384.png,14
001385.png,15
001386.png,15
001387.png,15
001388.png,16
001389.png,18
001390.png,16
001391.png,15
001392.png,19
001393.png,21
001394.png,19
001395.png,13
001396.png,15
001397.png,15
001398.png,19
001399.png,22
001400.png,18
002101.png,17
002102.png,17
002103.png,17
002104.png,13
002105.png,12
002106.png,13
002107.png,13
002108.png,12
002109.png,13
002110.png,13
002111.png,13
002112.png,13
002113.png,13
002114.png,15
002115.png,14
002116.png,12
002117.png,14
002118.png,13
002119.png,14
002120.png,14
002121.png,13
002122.png,14
002123.png,15
002124.png,12
002125.png,14
002126.png,14
002127.png,13
002128.png,14
002129.png,16
002130.png,20
002131.png,17
002132.png,16
002133.png,20
002134.png,17
002135.png,18
002136.png,15
002137.png,12
002138.png,13
002139.png,12
002140.png,12
002141.png,11
002142.png,14
002143.png,12
002144.png,13
002145.png,13
002146.png,12
002147.png,14
002148.png,14
002149.png,13
002150.png,15
002151.png,11
002152.png,12
002153.png,13
002154.png,12
002155.png,12
002156.png,12
002157.png,10
002158.png,10
002159.png,12
002160.png,11
002161.png,13
002162.png,14
002163.png,15
002164.png,11
002165.png,14
002166.png,9
002167.png,11
002168.png,9
002169.png,12
002170.png,16
002171.png,14
002172.png,13
002173.png,11
002174.png,14
002175.png,16
002176.png,16
002177.png,16
002178.png,19
002179.png,13
002180.png,17
002181.png,15
002182.png,14
002183.png,16
002184.png,15
002185.png,15
002186.png,14
002187.png,18
002188.png,15
002189.png,17
002190.png,18
002191.png,14
002192.png,15
002193.png,12
002194.png,16
002195.png,16
002196.png,19
002197.png,18
002198.png,19
002199.png,21
002200.png,16
002481.png,0
002482.png,0
002483.png,0
002813.png,14
002814.png,19
002815.png,15
002816.png,18
002817.png,14
,2648
