epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.1351,1.11566,1.80618,1.23297,0.61764,0.77344,0.72164,0.66411,0.44118,0.61367,0.83714,1.904e-05,1.904e-05,1.904e-05
2,129.696,0.99418,1.37173,1.15478,0.61344,0.75771,0.71389,0.62692,0.54714,0.66831,0.86575,3.79741e-05,3.79741e-05,3.79741e-05
3,193.742,0.86292,0.96923,1.07846,0.52873,0.82413,0.72961,0.63702,0.52906,0.68101,0.86608,5.5573e-05,5.5573e-05,5.5573e-05
4,255.78,0.82442,0.87935,1.05269,0.51619,0.67587,0.72222,0.62138,0.54076,0.66678,0.86243,7.18367e-05,7.18367e-05,7.18367e-05
5,317.846,0.82224,0.84273,1.0464,0.47347,0.56879,0.6825,0.58237,0.55447,0.67648,0.85777,8.67653e-05,8.67653e-05,8.67653e-05
6,373.809,0.77617,0.75647,1.02157,0.60064,0.52958,0.67668,0.58068,0.54976,0.68606,0.8506,9.9365e-05,9.9365e-05,9.9365e-05
7,432.716,0.80822,0.78818,1.03387,0.86287,0.45985,0.65903,0.56405,0.53035,0.68411,0.83945,9.5438e-05,9.5438e-05,9.5438e-05
8,492.245,0.75001,0.7491,1.00867,0.65948,0.56806,0.63832,0.54395,0.54256,0.69049,0.8367,9.1511e-05,9.1511e-05,9.1511e-05
9,551.85,0.74774,0.73597,1.00783,0.6971,0.59696,0.63693,0.54443,0.55018,0.69755,0.8352,8.7584e-05,8.7584e-05,8.7584e-05
10,611.466,0.74696,0.72407,1.0085,0.75143,0.55166,0.60494,0.51768,0.54804,0.70408,0.83395,8.3657e-05,8.3657e-05,8.3657e-05
11,671.061,0.72648,0.7185,0.98999,0.74256,0.57044,0.6056,0.51393,0.54003,0.68759,0.83406,7.973e-05,7.973e-05,7.973e-05
